stat, rank, value, (percentage) 
minecraft.mined.brown_candle: #1, 26(67%)
minecraft.mined.acacia_sign: #1, 12(26%)
minecraft.used.bell: #2, 104(29%)
minecraft.dropped.diamond_leggings: #2, 32(15%)
minecraft.picked_up.furnace_minecart: #1, 38(47%)
minecraft.used.red_concrete: #2, 4414(17%)
minecraft.picked_up.barrel: #2, 549(14%)
minecraft.mined.smooth_basalt: #1, 2597(13%)
minecraft.picked_up.amethyst_cluster: #2, 1259(18%)
minecraft.picked_up.coal: #1, 16596(9%)
minecraft.used.netherrack: #2, 25424(15%)
minecraft.dropped.crimson_planks: #2, 128(30%)
minecraft.custom.aviate_one_cm: #2, 2147483647(9%)
minecraft.dropped.shulker_shell: #2, 953(30%)
minecraft.crafted.mangrove_pressure_plate: #2, 183(35%)
minecraft.dropped.lapis_block: #1, 241(45%)
minecraft.mined.bricks: #2, 579(17%)
minecraft.picked_up.ladder: #1, 746(11%)
minecraft.picked_up.soul_campfire: #1, 22(39%)
minecraft.used.obsidian: #2, 6367(15%)
minecraft.custom.jump: #2, 718287(7%)
minecraft.crafted.bell: #1, 99(39%)
minecraft.used.cracked_deepslate_bricks: #2, 4106(37%)
minecraft.mined.netherite_block: #2, 165(45%)
minecraft.picked_up.rail: #2, 7795(15%)
minecraft.dropped.glistering_melon_slice: #1, 30(77%)
minecraft.dropped.wooden_pickaxe: #1, 6(13%)
minecraft.broken.golden_axe: #1, 8(38%)
minecraft.used.purpur_stairs: #1, 75(30%)
minecraft.picked_up.allium: #3, 777(22%)
minecraft.mined.green_wall_banner: #1, 28(60%)
minecraft.custom.damage_taken: #3, 1302413(10%)
minecraft.dropped.chiseled_sandstone: #1, 23(37%)
minecraft.picked_up.polished_blackstone_brick_slab: #2, 743(36%)
minecraft.crafted.pink_wool: #1, 808(27%)
minecraft.custom.interact_with_smithing_table: #2, 200(12%)
minecraft.used.spruce_trapdoor: #2, 3450(12%)
minecraft.mined.spruce_wall_sign: #2, 90(16%)
minecraft.picked_up.oak_trapdoor: #2, 232(13%)
minecraft.custom.fly_one_cm: #2, 162846708(6%)
minecraft.dropped.blue_wool: #2, 536(44%)
minecraft.picked_up.orange_wool: #2, 727(20%)
minecraft.crafted.campfire: #2, 502(15%)
minecraft.picked_up.gilded_blackstone: #2, 226(25%)
minecraft.picked_up.iron_shovel: #1, 21(12%)
minecraft.killed.spider: #2, 345(12%)
minecraft.dropped.purple_wool: #1, 759(42%)
minecraft.used.spruce_sign: #2, 327(12%)
minecraft.picked_up.sea_lantern: #2, 1275(16%)
minecraft.mined.chipped_anvil: #1, 45(13%)
minecraft.picked_up.elytra: #2, 170(9%)
minecraft.mined.acacia_wall_sign: #1, 31(24%)
minecraft.picked_up.obsidian: #3, 8245(17%)
minecraft.picked_up.gray_candle: #1, 122(96%)
minecraft.crafted.rib_armor_trim_smithing_template: #1, 24(48%)
minecraft.used.chest: #2, 4585(11%)
minecraft.dropped.copper_ore: #2, 443(17%)
