stat, rank, value, (percentage) 
minecraft.crafted.netherite_upgrade_smithing_template: #2, 36(33%)
minecraft.picked_up.light_blue_glazed_terracotta: #2, 11(33%)
minecraft.dropped.bread: #2, 3288(10%)
minecraft.picked_up.music_disc_cat: #3, 56(12%)
minecraft.mined.smooth_quartz: #3, 566(12%)
minecraft.mined.dirt: #3, 75991(8%)
minecraft.crafted.iron_trapdoor: #3, 764(13%)
minecraft.used.warped_trapdoor: #3, 589(15%)
minecraft.crafted.purple_terracotta: #3, 1912(17%)
minecraft.mined.yellow_glazed_terracotta: #2, 36(19%)
minecraft.picked_up.black_banner: #2, 48(14%)
minecraft.custom.damage_taken: #4, 1014473(7%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #2, 58(19%)
minecraft.mined.brown_glazed_terracotta: #2, 188(21%)
minecraft.used.blast_furnace: #3, 125(12%)
minecraft.mined.scaffolding: #3, 11150(11%)
minecraft.used.polished_blackstone_button: #3, 390(15%)
minecraft.picked_up.smooth_stone_slab: #3, 477(12%)
minecraft.dropped.glowstone_dust: #3, 849(16%)
minecraft.crafted.stone_button: #3, 2959(10%)
minecraft.crafted.orange_stained_glass_pane: #3, 384(22%)
minecraft.mined.green_carpet: #2, 146(11%)
minecraft.dropped.blue_terracotta: #2, 41(18%)
minecraft.crafted.warped_trapdoor: #3, 634(13%)
minecraft.dropped.name_tag: #2, 64(8%)
minecraft.crafted.suspicious_stew: #2, 70(18%)
minecraft.dropped.brown_carpet: #2, 45(22%)
minecraft.dropped.sugar: #3, 1004(16%)
minecraft.crafted.iron_bars: #3, 3036(11%)
minecraft.crafted.brewing_stand: #3, 68(12%)
minecraft.picked_up.waxed_oxidized_cut_copper: #2, 32(28%)
minecraft.custom.inspect_hopper: #3, 3979(8%)
minecraft.crafted.polished_blackstone_wall: #2, 123(15%)
minecraft.picked_up.music_disc_5: #2, 8(19%)
minecraft.crafted.cyan_concrete: #2, 648(42%)
minecraft.mined.deepslate_tiles: #3, 858(10%)
minecraft.mined.end_rod: #3, 250(10%)
minecraft.dropped.yellow_carpet: #2, 23(28%)
minecraft.mined.cracked_deepslate_tiles: #2, 17(21%)
minecraft.mined.note_block: #3, 126(11%)
minecraft.dropped.diamond_block: #3, 265(11%)
minecraft.broken.stone_axe: #2, 4(10%)
minecraft.used.gray_banner: #2, 36(16%)
minecraft.used.wooden_axe: #2, 66(8%)
minecraft.used.mushroom_stew: #2, 33(23%)
minecraft.crafted.smithing_table: #4, 442(14%)
minecraft.picked_up.waxed_cut_copper: #2, 39(14%)
minecraft.used.target: #3, 300(12%)
minecraft.crafted.bookshelf: #3, 2822(11%)
minecraft.used.coal_block: #3, 546(13%)
minecraft.used.magenta_terracotta: #3, 503(20%)
minecraft.used.fletching_table: #2, 36(16%)
minecraft.picked_up.glowstone_dust: #3, 1678(10%)
