stat, rank, value, (percentage) 
minecraft.mined.brown_stained_glass_pane: #4, 5(7%)
minecraft.picked_up.prismarine_brick_slab: #4, 130(6%)
minecraft.crafted.spruce_fence: #5, 1569(7%)
minecraft.crafted.diorite_slab: #4, 222(7%)
minecraft.mined.light_gray_banner: #4, 2(8%)
minecraft.picked_up.iron_block: #5, 6271(7%)
minecraft.picked_up.packed_ice: #4, 3508(2%)
minecraft.used.iron_door: #5, 71(7%)
minecraft.mined.spruce_sapling: #5, 66(8%)
minecraft.mined.redstone_ore: #5, 6416(6%)
minecraft.mined.cauldron: #5, 19(7%)
minecraft.used.trident: #5, 516(8%)
minecraft.picked_up.cyan_concrete_powder: #4, 484(3%)
minecraft.mined.crimson_pressure_plate: #4, 1(7%)
minecraft.crafted.leather_helmet: #4, 21(3%)
minecraft.mined.warped_stairs: #5, 38(7%)
minecraft.mined.red_stained_glass_pane: #4, 23(4%)
minecraft.mined.crimson_fence_gate: #4, 4(5%)
minecraft.dropped.bone_block: #5, 213(9%)
minecraft.crafted.stone_stairs: #5, 485(7%)
minecraft.picked_up.iron_door: #5, 36(7%)
minecraft.dropped.acacia_log: #5, 94(8%)
minecraft.used.warped_roots: #4, 27(3%)
minecraft.used.string: #5, 1057(6%)
minecraft.picked_up.andesite_wall: #5, 269(8%)
minecraft.picked_up.brown_stained_glass_pane: #4, 5(7%)
minecraft.picked_up.red_mushroom_block: #5, 2479(7%)
minecraft.used.quartz_stairs: #4, 434(1%)
minecraft.used.oak_fence: #5, 965(6%)
minecraft.picked_up.wooden_sword: #4, 3(2%)
minecraft.picked_up.white_concrete_powder: #5, 11371(5%)
minecraft.crafted.iron_bars: #5, 1952(5%)
minecraft.mined.smoker: #5, 36(9%)
minecraft.picked_up.smoker: #5, 36(8%)
minecraft.used.blue_stained_glass_pane: #4, 26(3%)
minecraft.crafted.end_rod: #4, 296(2%)
minecraft.killed.zoglin: #4, 1(5%)
minecraft.picked_up.warped_trapdoor: #5, 57(6%)
minecraft.mined.nether_sprouts: #5, 304(6%)
minecraft.dropped.glass_pane: #4, 35(1%)
minecraft.crafted.spruce_sign: #5, 126(5%)
minecraft.mined.warped_roots: #5, 469(5%)
minecraft.mined.prismarine_stairs: #4, 9(2%)
minecraft.used.mossy_cobblestone_stairs: #5, 22(9%)
minecraft.picked_up.prismarine_stairs: #4, 9(1%)
minecraft.dropped.armor_stand: #5, 14(6%)
minecraft.crafted.target: #5, 199(7%)
minecraft.dropped.chainmail_leggings: #5, 7(6%)
minecraft.dropped.acacia_planks: #5, 44(6%)
minecraft.picked_up.white_stained_glass_pane: #5, 293(5%)
minecraft.dropped.map: #4, 5(1%)
minecraft.crafted.brown_stained_glass_pane: #5, 96(10%)
minecraft.broken.fishing_rod: #5, 3(8%)
minecraft.picked_up.nether_star: #5, 45(6%)
minecraft.used.soul_lantern: #6, 320(9%)
minecraft.used.polished_granite: #5, 551(5%)
minecraft.dropped.totem_of_undying: #5, 7(6%)
minecraft.crafted.cyan_stained_glass_pane: #5, 240(6%)
minecraft.mined.lily_pad: #5, 95(6%)
minecraft.dropped.dirt: #6, 8016(8%)
minecraft.dropped.nether_brick_fence: #5, 26(7%)
minecraft.picked_up.brick_wall: #5, 136(8%)
minecraft.mined.mossy_stone_bricks: #5, 68(5%)
minecraft.mined.nether_brick_stairs: #5, 120(5%)
minecraft.crafted.red_stained_glass_pane: #5, 272(7%)
minecraft.used.basalt: #5, 1830(4%)
minecraft.picked_up.crimson_fungus: #5, 198(4%)
minecraft.dropped.iron_sword: #5, 11(4%)
minecraft.used.clay: #5, 386(5%)
minecraft.mined.light_gray_concrete: #5, 2379(4%)
minecraft.crafted.warped_stairs: #5, 124(5%)
minecraft.crafted.polished_granite_stairs: #5, 58(11%)
minecraft.mined.warped_fence: #5, 18(6%)
minecraft.used.warped_stairs: #5, 119(5%)
minecraft.picked_up.warped_fence: #5, 18(5%)
minecraft.picked_up.nether_brick_stairs: #5, 120(5%)
minecraft.dropped.potato: #5, 454(4%)
minecraft.used.stripped_warped_stem: #5, 77(7%)
minecraft.mined.acacia_log: #6, 2844(8%)
minecraft.picked_up.warped_fungus: #5, 335(4%)
minecraft.used.white_carpet: #6, 3064(8%)
minecraft.used.wither_rose: #5, 331(5%)
minecraft.picked_up.polished_blackstone_stairs: #6, 209(9%)
minecraft.used.smooth_stone: #5, 4523(3%)
