stat, rank, value, (percentage) 
minecraft.crafted.brown_concrete_powder: #3, 5112(16%)
minecraft.dropped.string: #3, 2280(11%)
minecraft.mined.gray_stained_glass_pane: #2, 67(13%)
minecraft.picked_up.diamond_helmet: #3, 56(11%)
minecraft.used.furnace_minecart: #2, 8(29%)
minecraft.picked_up.beef: #3, 3183(11%)
minecraft.dropped.white_bed: #2, 10(13%)
minecraft.dropped.sugar_cane: #3, 4836(13%)
minecraft.crafted.crimson_button: #2, 400(19%)
minecraft.crafted.black_shulker_box: #3, 30(13%)
minecraft.mined.mossy_stone_brick_slab: #2, 5(21%)
minecraft.picked_up.diamond_pickaxe: #3, 141(11%)
minecraft.picked_up.mycelium: #3, 23825(11%)
minecraft.mined.red_terracotta: #3, 8041(12%)
minecraft.dropped.iron_helmet: #2, 22(9%)
minecraft.picked_up.blaze_rod: #3, 2219(12%)
minecraft.used.lime_stained_glass: #3, 4470(13%)
minecraft.mined.polished_andesite_stairs: #3, 537(13%)
minecraft.custom.aviate_one_cm: #3, 1883055632(10%)
minecraft.dropped.gray_stained_glass_pane: #2, 128(14%)
minecraft.killed.squid: #2, 483(7%)
minecraft.used.crimson_button: #2, 400(19%)
minecraft.picked_up.jungle_planks: #3, 755(11%)
minecraft.crafted.diamond_pickaxe: #3, 51(10%)
minecraft.crafted.spruce_planks: #3, 61282(10%)
minecraft.dropped.birch_fence: #2, 39(13%)
minecraft.picked_up.crimson_planks: #3, 483(13%)
minecraft.dropped.cyan_bed: #2, 21(25%)
minecraft.picked_up.diamond_sword: #3, 103(10%)
minecraft.crafted.dark_oak_button: #2, 211(9%)
minecraft.used.dark_oak_sapling: #3, 1458(16%)
minecraft.picked_up.rotten_flesh: #3, 25419(9%)
minecraft.dropped.diamond_sword: #3, 29(10%)
minecraft.dropped.red_shulker_box: #2, 5(12%)
minecraft.used.yellow_terracotta: #2, 891(9%)
minecraft.used.rail: #3, 5492(9%)
minecraft.dropped.grass: #3, 196(14%)
minecraft.killed.tropical_fish: #2, 81(8%)
minecraft.crafted.yellow_terracotta: #2, 1081(13%)
minecraft.broken.bow: #2, 2(29%)
minecraft.picked_up.music_disc_stal: #2, 23(28%)
minecraft.crafted.brown_dye: #3, 1619(12%)
minecraft.mined.turtle_egg: #3, 534(16%)
minecraft.killed.cow: #3, 1059(10%)
minecraft.dropped.birch_button: #2, 13(15%)
minecraft.killed_by.zoglin: #2, 8(35%)
minecraft.mined.potted_azure_bluet: #2, 5(28%)
minecraft.broken.leather_helmet: #2, 4(14%)
minecraft.picked_up.music_disc_pigstep: #2, 7(23%)
minecraft.picked_up.stick: #3, 11777(10%)
minecraft.picked_up.chainmail_leggings: #3, 12(10%)
minecraft.custom.open_chest: #3, 59182(7%)
minecraft.broken.golden_boots: #2, 4(33%)
minecraft.picked_up.birch_sign: #3, 502(10%)
minecraft.crafted.iron_block: #3, 22710(10%)
minecraft.picked_up.prismarine_shard: #2, 4249(7%)
minecraft.killed.snow_golem: #2, 90(10%)
minecraft.used.minecart: #3, 330(9%)
minecraft.crafted.spruce_trapdoor: #3, 3642(10%)
minecraft.picked_up.oak_planks: #3, 1745(10%)
minecraft.dropped.gray_wool: #3, 284(16%)
minecraft.mined.cornflower: #3, 137(10%)
minecraft.crafted.stone_axe: #3, 34(10%)
minecraft.used.polished_andesite: #3, 8361(10%)
minecraft.killed.strider: #2, 8(14%)
minecraft.dropped.birch_leaves: #3, 709(11%)
minecraft.used.birch_planks: #4, 5046(14%)
minecraft.killed.iron_golem: #3, 74(12%)
minecraft.dropped.pumpkin: #3, 1748(13%)
minecraft.picked_up.dark_prismarine_slab: #2, 508(11%)
minecraft.mined.diorite: #3, 35301(9%)
minecraft.picked_up.melon: #3, 1841(12%)
minecraft.killed.piglin: #3, 193(9%)
minecraft.dropped.spruce_fence_gate: #3, 64(25%)
minecraft.dropped.music_disc_cat: #2, 4(31%)
minecraft.killed.guardian: #2, 3890(9%)
minecraft.dropped.diamond_axe: #3, 15(11%)
minecraft.mined.jungle_fence: #3, 64(13%)
minecraft.custom.sprint_one_cm: #3, 180213332(6%)
minecraft.used.birch_pressure_plate: #3, 42(16%)
minecraft.used.wooden_pickaxe: #3, 62(10%)
minecraft.used.birch_fence: #3, 430(11%)
minecraft.mined.glowstone: #3, 976(9%)
minecraft.dropped.gray_carpet: #2, 316(10%)
minecraft.crafted.stick: #3, 58002(9%)
minecraft.picked_up.gray_concrete: #3, 13547(10%)
minecraft.dropped.fern: #3, 78(14%)
minecraft.dropped.polished_blackstone: #3, 94(15%)
minecraft.picked_up.chiseled_stone_bricks: #3, 263(11%)
minecraft.mined.lantern: #3, 233(9%)
